carat,cut,color,clarity,depth,table,price,size
0.74,Ideal,G,SI1,61.6,55.0,2760,121.80869999999999
0.75,Premium,G,VS2,61.7,58.0,2760,121.59868499999999
0.8,Ideal,I,VS1,62.9,56.0,2760,129.70821600000002
0.75,Ideal,G,SI1,62.2,55.0,2760,123.58698
0.8,Premium,G,SI1,63.0,59.0,2760,126.48950999999998
0.74,Ideal,I,VVS2,62.3,55.0,2761,121.02055699999998
0.81,Ideal,F,SI2,58.8,57.0,2761,135.05544
0.59,Ideal,E,VVS2,62.0,55.0,2761,97.86488999999999
0.8,Ideal,F,SI2,61.4,57.0,2761,131.23919999999998
0.74,Ideal,E,SI2,62.2,56.0,2761,122.61664
0.9,Premium,I,VS2,63.0,58.0,2761,145.89590400000003
0.74,Very Good,G,SI1,62.2,59.0,2762,119.72147400000001
0.73,Ideal,F,VS2,62.6,56.0,2762,119.23128
0.73,Ideal,F,VS2,62.7,53.0,2762,120.727
0.8,Premium,F,SI2,61.7,58.0,2762,130.71801600000003
0.71,Ideal,G,VS2,62.4,54.0,2762,117.95097599999998
0.7,Ideal,E,VS2,60.7,58.0,2762,115.18675200000001
0.8,Ideal,F,SI2,59.9,59.0,2762,132.060134
0.71,Ideal,D,SI2,62.3,56.0,2762,116.06917200000001
0.74,Ideal,E,SI1,62.3,54.0,2762,122.40668000000001
0.7,Very Good,F,VS2,61.7,63.0,2762,109.79218800000001
0.7,Fair,F,VS2,64.5,57.0,2762,110.27151800000001
0.7,Fair,F,VS2,65.3,55.0,2762,114.980364
0.7,Premium,F,VS2,61.6,60.0,2762,109.27891
0.91,Premium,H,SI1,61.4,56.0,2763,134.52201
0.61,Very Good,D,VVS2,59.6,57.0,2763,103.00233599999999
0.91,Fair,H,SI2,64.4,57.0,2763,146.234907
0.91,Fair,H,SI2,65.7,60.0,2763,142.672815
0.77,Ideal,H,VS2,62.0,56.0,2763,125.636056
0.71,Very Good,D,SI1,63.6,58.0,2764,115.32672
0.71,Ideal,D,SI1,61.9,59.0,2764,114.89020399999998
0.7,Very Good,E,VS2,62.6,60.0,2765,112.08809000000001
0.77,Very Good,H,VS1,61.3,60.0,2765,125.23812
0.63,Premium,E,VVS1,60.9,60.0,2765,103.24331999999998
0.71,Very Good,F,VS1,60.1,62.0,2765,114.59450799999999
0.71,Premium,F,VS1,61.8,59.0,2765,115.09106100000001
0.76,Ideal,H,SI1,61.2,57.0,2765,125.45038799999999
0.64,Ideal,G,VVS1,61.9,56.0,2766,105.46152400000001
0.71,Premium,G,VS2,60.9,57.0,2766,116.65485
0.71,Premium,G,VS2,59.8,56.0,2766,119.77314999999997
0.7,Very Good,D,VS2,61.8,55.0,2767,114.36339199999999
0.7,Very Good,F,VS1,60.0,57.0,2767,119.161
0.71,Ideal,D,SI2,61.6,55.0,2767,117.04089599999999
0.7,Good,H,VVS2,62.1,64.0,2767,111.13550000000001
0.71,Very Good,G,VS1,63.3,59.0,2768,109.004544
0.73,Very Good,D,SI1,60.2,56.0,2768,120.46179199999999
0.7,Very Good,D,SI1,61.1,58.0,2768,112.86266400000001
0.7,Ideal,E,SI1,60.9,57.0,2768,115.51680000000002
0.71,Premium,D,SI2,61.7,59.0,2768,113.638707
0.74,Ideal,I,SI1,61.3,56.0,2769,121.755564
0.71,Premium,D,VS2,62.5,60.0,2770,111.57168000000001
0.73,Premium,G,VS2,61.4,59.0,2770,119.547648
0.76,Very Good,F,SI1,62.9,57.0,2770,122.78563499999998
0.76,Ideal,D,SI2,62.4,57.0,2770,121.98458800000002
0.71,Ideal,F,SI1,60.7,56.0,2770,117.46565999999997
0.73,Premium,G,VS2,60.7,58.0,2770,121.28007000000001
0.73,Premium,G,VS1,61.5,58.0,2770,118.18837499999998
0.73,Ideal,D,SI2,59.9,57.0,2770,123.435552
0.73,Premium,G,VS2,59.2,59.0,2770,121.278896
0.72,Very Good,H,VVS2,60.3,56.0,2771,118.89177299999997
0.73,Very Good,F,SI1,61.7,60.0,2771,120.638124
0.71,Ideal,G,VS2,61.9,57.0,2771,117.701076
0.79,Ideal,F,SI2,61.9,55.0,2771,130.060032
0.73,Very Good,H,VVS1,60.4,59.0,2772,121.55899799999999
0.8,Very Good,F,SI2,61.0,57.0,2772,133.00190099999998
0.58,Ideal,G,VVS1,61.5,55.0,2772,97.640928
0.58,Ideal,F,VVS1,61.7,56.0,2772,94.45293
0.71,Good,E,VS2,59.2,61.0,2772,117.99983999999999
0.75,Ideal,D,SI2,61.3,56.0,2773,124.04339999999999
0.7,Premium,D,VS2,58.0,62.0,2773,114.678668
1.17,Very Good,J,I1,60.2,61.0,2774,194.63451
0.6,Ideal,E,VS1,61.7,55.0,2774,98.59184
0.7,Ideal,E,SI1,62.7,55.0,2774,116.71945600000001
0.83,Good,I,VS2,64.6,54.0,2774,130.36842
0.74,Very Good,F,VS2,61.3,61.0,2775,120.92304
0.72,Very Good,G,VS2,63.7,56.4,2776,115.439858
0.71,Premium,E,VS2,62.7,58.0,2776,116.71945600000001
0.71,Ideal,E,VS2,62.2,57.0,2776,115.51629
0.54,Ideal,E,VVS2,61.6,56.0,2776,89.64269999999999
0.54,Ideal,E,VVS2,61.5,57.0,2776,89.026552
0.72,Ideal,G,SI1,61.8,56.0,2776,116.7595
0.72,Ideal,G,SI1,60.7,56.0,2776,118.953234
0.72,Good,G,VS2,59.7,60.5,2776,117.53584000000001
0.71,Ideal,G,SI1,60.5,56.0,2776,116.928
0.7,Very Good,D,VS1,62.7,58.0,2777,115.781526
0.71,Premium,F,VS2,62.1,58.0,2777,114.08607
0.71,Very Good,F,VS2,62.8,57.0,2777,114.246096
0.71,Good,F,VS2,63.8,58.0,2777,113.589036
0.71,Good,F,VS2,57.8,60.0,2777,117.7522
0.7,Ideal,E,VS2,62.1,55.0,2777,114.08607
0.7,Premium,E,VS2,61.1,60.0,2777,111.749268
0.7,Premium,E,SI1,60.0,59.0,2777,115.19205
0.7,Premium,E,SI1,61.2,57.0,2777,113.58693600000001
0.7,Premium,E,SI1,62.7,59.0,2777,113.004234
0.7,Premium,E,SI1,61.0,57.0,2777,113.261472
0.7,Premium,E,SI1,61.0,58.0,2777,116.04621599999999
0.7,Ideal,E,SI1,61.4,57.0,2777,115.56864
0.72,Premium,F,SI1,61.8,61.0,2777,118.306632
0.7,Very Good,E,SI1,59.9,63.0,2777,112.61376000000001
0.7,Premium,E,SI1,61.3,58.0,2777,113.19047200000001
0.7,Premium,E,SI1,60.5,58.0,2777,115.25690399999999
0.7,Good,E,VS2,64.1,59.0,2777,113.49935999999998
0.98,Fair,H,SI2,67.9,60.0,2777,147.36347999999998
0.78,Premium,F,SI1,62.4,58.0,2777,122.74481999999999
0.7,Very Good,E,SI1,63.2,60.0,2777,108.30455999999998
0.52,Ideal,F,VVS1,61.3,55.0,2778,86.422842
0.73,Very Good,H,VS2,60.8,56.0,2779,120.66023999999999
0.74,Ideal,E,SI1,61.7,56.0,2779,121.60047999999999
0.7,Very Good,F,VS2,63.6,57.0,2780,113.47347000000002
0.77,Premium,G,VS2,61.2,58.0,2780,126.65294000000002
0.71,Ideal,F,VS2,62.1,54.0,2780,115.01318399999998
0.74,Ideal,G,VS1,61.5,55.0,2780,122.22729399999999
0.7,Ideal,G,VS1,61.4,59.0,2780,112.787028
1.01,Premium,F,I1,61.8,60.0,2781,160.123176
0.77,Ideal,H,SI1,62.2,56.0,2781,124.78065600000001
0.78,Ideal,H,SI1,61.2,56.0,2781,129.077312
0.72,Very Good,H,VS1,60.6,63.0,2782,117.86860799999998
0.53,Very Good,D,VVS2,57.5,64.0,2782,88.32146399999999
0.76,Ideal,G,VS2,61.3,56.0,2782,127.21698000000002
0.7,Good,E,VS1,57.2,62.0,2782,110.963447
0.7,Premium,E,VS1,62.9,60.0,2782,109.283148
0.75,Very Good,D,SI2,63.1,58.0,2782,120.22342200000001
0.72,Ideal,D,SI1,60.8,57.0,2782,115.91999999999999
0.72,Premium,D,SI1,62.7,59.0,2782,116.72124600000001
0.7,Premium,D,SI1,62.8,60.0,2782,114.44972800000001
0.84,Fair,G,SI1,55.1,67.0,2782,137.47446000000002
0.75,Premium,F,SI1,61.4,59.0,2782,123.83279999999999
0.52,Ideal,F,IF,62.2,55.0,2783,85.46689199999999
0.72,Very Good,F,VS2,63.0,54.0,2784,117.37332000000002
0.79,Very Good,H,VS1,63.7,56.0,2784,129.87
0.72,Very Good,F,VS2,63.6,58.0,2787,116.26149400000001
0.51,Ideal,F,VVS1,62.0,57.0,2787,83.68647000000001
0.64,Ideal,D,VS1,61.5,56.0,2787,104.84727000000001
0.7,Very Good,H,VVS1,60.5,60.0,2788,115.25690399999999
0.83,Very Good,I,VS1,61.1,60.0,2788,137.74044
0.76,Ideal,I,VVS2,61.8,56.0,2788,124.30899000000001
0.71,Good,D,VS2,63.3,56.0,2788,114.686016
0.77,Good,G,VS1,59.4,64.0,2788,124.75867199999999
0.71,Ideal,F,SI1,62.5,55.0,2788,114.52832500000001
1.01,Fair,E,I1,64.5,58.0,2788,157.415427
1.01,Premium,H,SI2,62.7,59.0,2788,154.245426
0.77,Good,F,SI1,64.2,52.0,2789,124.708164
0.76,Good,E,SI1,63.7,54.0,2789,124.6752
0.76,Premium,E,SI1,60.4,58.0,2789,125.889984
0.76,Premium,E,SI1,61.8,58.0,2789,123.11977200000001
1.05,Very Good,J,SI2,63.2,56.0,2789,171.209445
0.81,Ideal,G,SI2,61.6,56.0,2789,132.396093
0.7,Ideal,E,SI1,61.6,56.0,2789,116.1017
0.55,Ideal,G,IF,60.9,57.0,2789,90.10848000000001
0.81,Good,G,SI2,61.0,61.0,2789,129.51338400000003
0.63,Premium,E,VVS2,62.1,57.0,2789,100.20618400000001
0.63,Premium,E,VVS1,60.9,60.0,2789,103.24331999999998
0.77,Premium,H,VS1,61.3,60.0,2789,125.23812
1.05,Fair,J,SI2,65.8,59.0,2789,167.99712599999998
0.64,Ideal,G,IF,61.3,56.0,2790,105.414012
0.76,Premium,I,VVS1,58.8,59.0,2790,125.09639999999999
0.83,Ideal,F,SI2,62.3,55.0,2790,136.94296
0.71,Premium,F,VS1,60.1,62.0,2790,114.59450799999999
0.71,Premium,F,VS1,61.8,59.0,2790,115.09106100000001
0.87,Very Good,I,SI1,63.6,55.8,2791,143.29449
0.73,Ideal,E,SI1,62.2,56.0,2791,118.774376
0.71,Premium,E,SI1,59.2,59.0,2792,118.206748
0.71,Premium,E,SI1,61.8,59.0,2792,116.0235
0.71,Ideal,E,SI1,61.3,55.0,2792,116.17548799999999
0.7,Premium,F,VS1,62.1,60.0,2792,113.88309500000001
0.7,Premium,F,VS1,60.7,60.0,2792,116.32249999999999
0.76,Premium,H,VVS2,59.6,57.0,2792,121.560426
0.7,Ideal,F,VS1,62.2,56.0,2792,115.53971999999999
0.79,Very Good,G,SI1,60.6,57.0,2793,132.27161999999998
0.7,Very Good,E,VS2,62.9,57.0,2793,114.97327800000001
0.7,Good,E,VS2,64.1,55.0,2793,114.42255999999999
0.76,Ideal,I,VS2,61.3,56.0,2793,125.23703700000002
0.73,Ideal,H,VS2,62.7,55.0,2793,118.60991999999999
0.79,Very Good,E,SI1,63.2,56.0,2794,128.83327200000002
0.71,Very Good,E,VS2,60.7,56.0,2795,119.364126
0.81,Premium,I,VVS2,61.9,60.0,2795,126.06266400000001
0.81,Ideal,F,SI2,62.6,55.0,2795,131.25350400000002
0.72,Good,F,VS1,60.7,60.0,2795,114.258144
0.72,Premium,D,SI2,62.0,60.0,2795,115.41709800000001
0.72,Premium,I,IF,63.0,57.0,2795,117.3744
0.81,Premium,H,VS2,58.0,59.0,2795,135.02489699999998
0.72,Premium,G,VS2,62.9,57.0,2795,115.90071000000002
1.0,Premium,I,SI2,58.2,60.0,2795,165.82176500000003
0.73,Good,E,SI1,63.2,58.0,2796,118.85184000000001
0.81,Very Good,H,SI2,61.3,59.0,2797,130.659804
0.81,Very Good,E,SI1,60.3,60.0,2797,135.88909
0.71,Premium,D,SI1,62.7,60.0,2797,115.581249
0.71,Premium,D,SI1,61.3,58.0,2797,115.97520000000002
0.71,Premium,D,SI1,61.6,60.0,2797,114.96531200000001
0.57,Ideal,F,VVS2,61.9,55.0,2797,94.56339
0.51,Ideal,D,VVS1,61.7,56.0,2797,83.748864
0.72,Ideal,G,VS2,61.9,58.0,2797,116.7595
0.74,Ideal,H,VS1,61.8,58.0,2797,120.01484599999999
0.74,Ideal,H,VS1,61.6,56.0,2797,121.054836
0.7,Fair,G,VVS1,58.8,66.0,2797,117.91975999999998
0.8,Premium,F,SI2,61.0,57.0,2797,133.00190099999998
1.01,Fair,E,SI2,67.4,60.0,2797,154.666435
0.8,Very Good,H,VS2,63.4,60.0,2797,128.170368
0.77,Ideal,I,VS1,61.5,59.0,2798,125.58395400000002
0.83,Very Good,E,SI2,58.0,62.0,2799,139.661875
0.82,Ideal,F,SI2,62.4,54.0,2799,134.413356
0.78,Ideal,D,SI1,61.9,57.0,2799,126.06266400000001
0.6,Very Good,G,IF,61.6,56.0,2800,99.32012999999999
0.9,Good,I,SI2,62.2,59.0,2800,140.562383
0.7,Premium,E,VS1,62.2,58.0,2800,110.93599999999999
0.9,Very Good,I,SI2,61.3,56.0,2800,146.06858
0.83,Ideal,G,SI1,62.3,57.0,2800,136.936192
0.83,Ideal,G,SI1,61.8,57.0,2800,136.891854
0.83,Very Good,H,SI1,62.5,59.0,2800,133.96305999999998
0.74,Premium,G,VS1,62.9,60.0,2800,117.045488
0.79,Ideal,I,VS1,61.8,59.0,2800,129.27208000000002
0.61,Ideal,G,IF,62.3,56.0,2800,100.321965
0.76,Fair,G,VS1,59.0,70.0,2800,118.20052
0.96,Ideal,F,I1,60.7,55.0,2801,158.426996
0.73,Ideal,F,VS2,62.5,55.0,2801,120.60288
0.73,Premium,F,VS2,62.7,58.0,2801,117.86688
0.75,Ideal,H,SI1,60.4,57.0,2801,126.88065199999998
0.71,Premium,F,VS2,62.1,58.0,2801,114.08607
0.71,Good,F,VS2,57.8,60.0,2801,117.7522
0.71,Good,F,VS2,63.8,58.0,2801,113.589036
0.71,Premium,F,VS2,62.8,57.0,2801,114.246096
1.04,Premium,G,I1,62.2,58.0,2801,165.6344
1.0,Premium,J,SI2,62.3,58.0,2801,162.75414
0.87,Very Good,G,SI2,59.9,58.0,2802,143.45696400000003
0.53,Ideal,F,IF,61.9,54.0,2802,88.7922
0.72,Premium,E,VS2,63.0,55.0,2802,116.610021
0.72,Premium,F,VS1,62.4,58.0,2802,119.6316
0.7,Very Good,F,VS2,62.9,58.0,2803,112.92372499999999
0.74,Very Good,E,SI1,63.5,56.0,2803,121.638636
0.71,Ideal,G,VS2,61.3,56.0,2803,115.242075
0.73,Ideal,E,SI1,60.6,54.0,2803,122.11147999999999
0.7,Good,G,VS1,65.1,58.0,2803,112.82185199999999
0.71,Premium,F,VS2,62.6,58.0,2803,115.05564000000001
0.71,Premium,F,VS2,58.0,62.0,2803,114.88112999999998
0.71,Premium,G,VS1,62.4,61.0,2803,114.00570000000002
0.77,Premium,G,VS2,61.3,57.0,2803,126.22360800000001
0.71,Premium,G,VS2,59.9,60.0,2803,116.327239
0.78,Premium,G,VS2,60.8,58.0,2803,130.59774000000002
0.71,Very Good,G,VS1,63.5,55.0,2803,114.601416
0.91,Ideal,D,SI2,62.2,57.0,2803,147.03727500000002
0.71,Very Good,E,VS2,63.8,58.0,2804,114.51312
0.71,Very Good,E,VS2,64.0,57.0,2804,116.700144
0.8,Very Good,E,SI2,62.5,56.0,2804,129.66576
0.7,Very Good,D,SI1,62.3,58.0,2804,116.06917200000001
0.72,Ideal,F,VS1,61.7,57.0,2804,117.57528999999998
0.72,Very Good,F,VS1,62.2,58.0,2804,116.679
0.82,Ideal,H,VS2,61.5,56.0,2804,135.93177599999999
0.7,Ideal,D,SI1,61.0,59.0,2804,112.34472
0.72,Ideal,D,SI1,62.2,56.0,2804,118.568884
0.72,Ideal,D,SI1,61.5,54.0,2804,119.13895999999998
0.9,Fair,I,SI1,67.3,59.0,2804,137.139552
0.74,Premium,F,VS2,61.7,58.0,2805,121.38867
0.74,Premium,F,VS2,61.9,56.0,2805,119.80827999999998
0.73,Ideal,E,SI2,61.8,58.0,2805,120.01484599999999
0.57,Fair,E,VVS1,58.7,66.0,2805,91.62799199999999
0.73,Premium,F,VS2,62.5,57.0,2805,117.33449999999999
0.72,Ideal,G,VS2,62.8,56.0,2805,117.45762
0.74,Fair,F,VS2,61.1,68.0,2805,118.13145
0.82,Good,G,VS2,64.0,57.0,2805,131.80406399999998
0.81,Very Good,G,SI1,62.5,60.0,2806,129.10055400000002
0.75,Very Good,H,VVS1,60.6,58.0,2806,122.8734
0.7,Ideal,F,SI1,61.6,55.0,2806,115.89978399999998
0.71,Very Good,F,VS1,62.2,58.0,2807,114.608208
0.71,Very Good,F,VS1,60.0,57.0,2807,121.28512
0.93,Premium,J,SI2,61.9,57.0,2807,147.609216
0.8,Very Good,H,VS2,62.8,57.0,2808,128.35929000000002
0.7,Very Good,F,VS1,62.0,57.0,2808,113.359488
1.0,Fair,G,I1,66.4,59.0,2808,152.68360800000002
0.75,Very Good,G,VS2,63.4,56.0,2808,121.09678
0.58,Ideal,E,VVS2,60.9,56.0,2808,96.94179
0.73,Very Good,D,SI1,63.1,57.0,2808,118.11198
0.81,Very Good,F,SI1,63.1,59.0,2809,124.308405
0.81,Premium,D,SI2,59.2,57.0,2809,134.319075
0.71,Premium,F,SI1,60.7,54.0,2809,119.56815999999999
1.2,Fair,F,I1,64.6,56.0,2809,194.078394
0.7,Very Good,F,VS1,61.8,56.0,2810,112.3185
0.7,Very Good,F,VS1,59.9,60.0,2810,117.26486399999999
0.74,Ideal,D,SI2,61.7,55.0,2810,122.35859999999998
0.7,Good,F,VS1,62.8,61.0,2810,109.679427
0.8,Good,G,SI1,62.7,57.0,2810,127.78912799999999
0.75,Very Good,F,SI1,63.4,58.0,2811,119.92780799999998
0.83,Very Good,D,SI1,63.5,54.0,2811,134.85199
1.0,Fair,J,VS2,65.7,59.0,2811,149.45189799999997
0.99,Fair,I,SI2,68.1,56.0,2811,157.30426799999998
0.7,Very Good,G,VS1,63.0,60.0,2812,110.89424399999999
0.7,Very Good,F,VS2,59.5,58.0,2812,116.049375
0.7,Good,E,SI1,63.5,59.0,2812,106.25895000000001
0.7,Very Good,F,VS2,61.7,58.0,2812,111.80110300000001
0.32,Premium,I,SI1,62.7,58.0,554,51.776634
0.32,Premium,I,SI1,62.8,58.0,554,52.204124
0.32,Ideal,I,SI1,62.4,57.0,554,51.70584
0.32,Premium,I,SI1,61.0,59.0,554,51.104867999999996
0.32,Very Good,I,SI1,63.1,56.0,554,52.827504
0.32,Ideal,I,SI1,60.7,57.0,554,53.34497999999999
0.3,Premium,H,SI1,60.9,59.0,554,48.443538
0.3,Premium,H,SI1,60.1,55.0,554,50.993712
0.3,Premium,H,SI1,62.9,58.0,554,48.634496000000006
0.3,Very Good,H,SI1,63.3,56.0,554,49.64259299999999
0.3,Good,H,SI1,63.8,55.0,554,48.3084
0.3,Ideal,H,SI1,62.9,57.0,554,48.11179799999999
0.3,Very Good,H,SI1,63.4,60.0,554,48.359475
0.32,Good,I,SI1,63.9,55.0,554,52.604271999999995
0.33,Ideal,H,SI2,61.4,56.0,554,68.53292499999999
0.29,Very Good,E,VS1,61.9,55.0,555,49.29618400000001
0.29,Very Good,E,VS1,62.4,55.0,555,46.9455
0.31,Very Good,F,SI1,61.8,58.0,555,50.362559999999995
0.34,Ideal,H,VS2,61.5,56.0,555,55.51739999999999
0.34,Ideal,H,VS2,60.4,57.0,555,57.056450000000005
0.34,Ideal,I,VS1,61.8,55.0,555,56.293887999999995
0.34,Ideal,I,VS1,62.0,56.0,555,57.078
0.3,Ideal,G,VS1,62.3,56.0,555,49.552932
0.29,Ideal,F,VS1,61.6,56.0,555,48.471984
0.35,Ideal,G,SI1,60.6,56.0,555,57.850896
0.43,Very Good,E,I1,58.4,62.0,555,71.63000000000001
0.32,Very Good,F,VS2,61.4,58.0,556,52.15158
0.36,Ideal,I,VS2,61.9,56.0,556,58.508796000000004
0.3,Ideal,G,VS2,62.0,56.0,556,48.954640000000005
0.26,Ideal,E,VS1,61.5,57.0,556,42.464016
0.7,Very Good,F,VS2,62.3,58.0,2812,114.20323199999999
0.7,Very Good,F,VS2,60.9,61.0,2812,111.82235600000001
0.71,Ideal,D,SI1,62.4,57.0,2812,115.866608
0.99,Fair,J,SI1,55.0,61.0,2812,164.946432
0.73,Premium,E,VS2,58.6,60.0,2812,120.646048
0.51,Ideal,F,VVS1,62.0,57.0,2812,83.68647000000001
0.91,Premium,G,SI2,59.8,58.0,2813,149.39379000000002
0.84,Very Good,E,SI1,63.4,55.0,2813,135.30300000000003
0.91,Good,I,VS2,64.3,58.0,2813,143.69355
0.76,Premium,E,SI1,62.2,59.0,2814,123.58915799999998
0.76,Ideal,E,SI1,61.7,57.0,2814,124.52076
0.75,Premium,E,SI1,61.1,59.0,2814,121.964766
0.55,Very Good,D,VVS1,61.5,56.0,2815,89.025583
0.76,Very Good,F,SI2,58.5,62.0,2815,124.381157
0.74,Premium,G,VS1,61.7,58.0,2815,120.430842
0.7,Ideal,H,SI1,60.4,56.0,2815,116.592175
0.7,Ideal,H,SI1,61.4,56.0,2815,115.56864
0.7,Ideal,H,SI1,61.5,55.0,2815,117.44551800000002
0.7,Ideal,H,SI1,61.4,56.0,2815,116.50553199999999
